assay,treatE,cycle,strain,repO,rep,repT,cfu_w,cfu_releas,id
col.2h,mono,4,MYb11,2,2,1,65,NA,MYb11_mono_4_1_2
col.2h,mono,4,MYb11,4,4,2,4093.333333,NA,MYb11_mono_4_2_4
col.2h,mono,4,MYb11,1,1,3,28333.33333,NA,MYb11_mono_4_3_1
col.2h,mono,4,MYb11,5,5,1,17440,NA,MYb11_mono_4_1_5
col.2h,mono,4,MYb11,2,2,2,100,NA,MYb11_mono_4_2_2
col.2h,mono,4,MYb11,5,5,3,23555.55556,NA,MYb11_mono_4_3_5
col.2h,mono,4,MYb11,6,6,1,23555.55556,NA,MYb11_mono_4_1_6
col.2h,mono,4,MYb11,3,3,3,32777.77778,NA,MYb11_mono_4_3_3
col.2h,mono,4,MYb11,2,2,3,916.6666667,NA,MYb11_mono_4_3_2
col.2h,mono,4,MYb11,1,1,2,85733.33333,NA,MYb11_mono_4_2_1
col.2h,mono,4,MYb11,4,4,3,16533.33333,NA,MYb11_mono_4_3_4
col.2h,mono,4,MYb11,4,4,1,8666.666667,NA,MYb11_mono_4_1_4
col.2h,mono,4,MYb11,3,3,1,4533.333333,NA,MYb11_mono_4_1_3
col.2h,mono,4,MYb11,5,5,2,3644.444444,NA,MYb11_mono_4_2_5
col.2h,mono,4,MYb11,3,3,2,1041.666667,NA,MYb11_mono_4_2_3
col.2h,mono,4,MYb11,1,1,1,162.6666667,NA,MYb11_mono_4_1_1
col.2h,bi,4,MYb11,6,6,2,5888.888889,NA,MYb11_bi_4_2_6
col.2h,bi,4,MYb11,6,6,3,6266.666667,NA,MYb11_bi_4_3_6
col.2h,bi,4,MYb11,5,5,1,55111.11111,NA,MYb11_bi_4_1_5
col.2h,bi,4,MYb11,3,3,1,14969.69697,NA,MYb11_bi_4_1_3
col.2h,bi,4,MYb11,3,3,2,12422.22222,NA,MYb11_bi_4_2_3
col.2h,bi,4,MYb11,3,3,3,25333.33333,NA,MYb11_bi_4_3_3
col.2h,bi,4,MYb11,2,2,3,3600,NA,MYb11_bi_4_3_2
col.2h,bi,4,MYb11,1,1,1,25666.66667,NA,MYb11_bi_4_1_1
col.2h,bi,4,MYb11,1,1,2,15622.22222,NA,MYb11_bi_4_2_1
col.2h,bi,4,MYb11,1,1,3,35333.33333,NA,MYb11_bi_4_3_1
col.2h,bi,4,MYb11,4,4,1,121.3333333,NA,MYb11_bi_4_1_4
col.2h,bi,4,MYb11,4,4,2,22952.38095,NA,MYb11_bi_4_2_4
col.2h,bi,4,MYb11,6,6,1,2990.47619,NA,MYb11_bi_4_1_6
col.2h,bi,4,MYb11,2,2,1,862.5,NA,MYb11_bi_4_1_2
col.2h,bi,4,MYb11,2,2,2,3480,NA,MYb11_bi_4_2_2
col.2h,bi,4,MYb11,5,5,3,2444.444444,NA,MYb11_bi_4_3_5
col.2h,bi,4,MYb11,4,4,3,2511.111111,NA,MYb11_bi_4_3_4
col.2h,bi,4,MYb11,5,5,2,2259259.259,NA,MYb11_bi_4_2_5
col.2h,bi,10,MYb11,5,5,3,104500,NA,MYb11_bi_10_3_5
col.2h,bi,10,MYb11,6,6,3,6950,NA,MYb11_bi_10_3_6
col.2h,bi,10,MYb11,3,3,2,143333.3333,NA,MYb11_bi_10_2_3
col.2h,bi,10,MYb11,2,2,2,1476.190476,NA,MYb11_bi_10_2_2
col.2h,bi,10,MYb11,3,3,1,247500,NA,MYb11_bi_10_1_3
col.2h,bi,10,MYb11,6,6,2,18555.55556,NA,MYb11_bi_10_2_6
col.2h,bi,10,MYb11,6,6,1,190.8333333,NA,MYb11_bi_10_1_6
col.2h,bi,10,MYb11,4,4,3,3506.666667,NA,MYb11_bi_10_3_4
col.2h,bi,10,MYb11,5,5,2,12883.33333,NA,MYb11_bi_10_2_5
col.2h,bi,10,MYb11,2,2,1,193.3333333,NA,MYb11_bi_10_1_2
col.2h,bi,10,MYb11,5,5,1,32095.2381,NA,MYb11_bi_10_1_5
col.2h,bi,10,MYb11,1,1,2,1137142.857,NA,MYb11_bi_10_2_1
col.2h,bi,10,MYb11,4,4,2,14666.66667,NA,MYb11_bi_10_2_4
col.2h,bi,10,MYb11,1,1,1,6533.333333,NA,MYb11_bi_10_1_1
col.2h,bi,10,MYb11,3,3,3,57666.66667,NA,MYb11_bi_10_3_3
col.2h,bi,10,MYb11,4,4,1,4233.333333,NA,MYb11_bi_10_1_4
col.2h,bi,10,MYb11,1,1,3,12266.66667,NA,MYb11_bi_10_3_1
col.2h,mono,10,MYb11,1,1,1,8866.666667,NA,MYb11_mono_10_1_1
col.2h,mono,10,MYb11,6,6,2,14000,NA,MYb11_mono_10_2_6
col.2h,mono,10,MYb11,4,4,1,602.2222222,NA,MYb11_mono_10_1_4
col.2h,mono,10,MYb11,6,6,3,80000,NA,MYb11_mono_10_3_6
col.2h,mono,10,MYb11,2,2,1,366.6666667,NA,MYb11_mono_10_1_2
col.2h,mono,10,MYb11,1,1,2,7355.555556,NA,MYb11_mono_10_2_1
col.2h,mono,10,MYb11,6,6,1,275,NA,MYb11_mono_10_1_6
col.2h,mono,10,MYb11,2,2,2,3633.333333,NA,MYb11_mono_10_2_2
col.2h,mono,10,MYb11,2,2,3,496.2962963,NA,MYb11_mono_10_3_2
col.2h,mono,10,MYb11,3,3,2,11142.85714,NA,MYb11_mono_10_2_3
col.2h,mono,10,MYb11,4,4,2,10166.66667,NA,MYb11_mono_10_2_4
col.2h,mono,10,MYb11,3,3,3,68000,NA,MYb11_mono_10_3_3
col.2h,mono,10,MYb11,3,3,1,1977.777778,NA,MYb11_mono_10_1_3
col.2h,mono,10,MYb11,5,5,3,1193.333333,NA,MYb11_mono_10_3_5
col.2h,mono,10,MYb11,1,1,3,113333.3333,NA,MYb11_mono_10_3_1
col.2h,mono,10,MYb11,4,4,3,66666.66667,NA,MYb11_mono_10_3_4
col.2h,mono,10,MYb11,5,5,2,731.1111111,NA,MYb11_mono_10_2_5
col.2h,mono,10,MYb11,5,5,1,9142.857143,NA,MYb11_mono_10_1_5
col.2h,anc,0,MYb11,4,4,1,757.7777778,NA,MYb11_anc_0_1_4
col.2h,anc,0,MYb11,1,1,1,238.3333333,NA,MYb11_anc_0_1_1
col.2h,anc,0,MYb11,3,3,1,2457.142857,NA,MYb11_anc_0_1_3
col.2h,anc,0,MYb11,3,3,2,39904.7619,NA,MYb11_anc_0_2_3
col.2h,anc,0,MYb11,6,6,2,3589.74359,NA,MYb11_anc_0_2_6
col.2h,anc,0,MYb11,6,6,3,32000,NA,MYb11_anc_0_3_6
col.2h,anc,0,MYb11,4,4,2,2858.333333,NA,MYb11_anc_0_2_4
col.2h,anc,0,MYb11,2,2,3,1106.666667,NA,MYb11_anc_0_3_2
col.2h,anc,0,MYb11,2,2,2,7300,NA,MYb11_anc_0_2_2
col.2h,anc,0,MYb11,4,4,3,12285.71429,NA,MYb11_anc_0_3_4
col.2h,anc,0,MYb11,1,1,3,18088.88889,NA,MYb11_anc_0_3_1
col.2h,anc,0,MYb11,6,6,1,2488.888889,NA,MYb11_anc_0_1_6
col.2h,anc,0,MYb11,2,2,1,188.3333333,NA,MYb11_anc_0_1_2
col.2h,anc,0,MYb11,5,5,1,33555.55556,NA,MYb11_anc_0_1_5
col.2h,anc,0,MYb11,3,3,3,40476.19048,NA,MYb11_anc_0_3_3
col.2h,anc,0,MYb11,5,5,2,14444.44444,NA,MYb11_anc_0_2_5
col.2h,anc,0,MYb11,5,5,3,8657.142857,NA,MYb11_anc_0_3_5
col.2h,anc,0,MYb11,1,1,2,91111.11111,NA,MYb11_anc_0_2_1
col.2h,bi,10,MYb11,4,7,1,1523.809524,NA,MYb11_bi_10_1_4
