assay,treatE,cycle,strain,repO,diff_cfuWorm
col.2h,bi,4,MYb11,1,0.700140617
col.2h,bi,4,MYb11,2,0.92408377
col.2h,bi,4,MYb11,3,0.636485573
col.2h,bi,4,MYb11,4,1.608923803
col.2h,bi,4,MYb11,5,40.8918399
col.2h,bi,4,MYb11,6,0.397756714
col.2h,bi,10,MYb11,1,10.56250422
col.2h,bi,10,MYb11,2,0.291365412
col.2h,bi,10,MYb11,3,5.414175673
col.2h,bi,10,MYb11,4,0.748556599
col.2h,bi,10,MYb11,5,2.638300555
col.2h,bi,10,MYb11,6,0.674824363
col.2h,mono,4,MYb11,1,1.043778079
col.2h,mono,4,MYb11,2,0.125848361
col.2h,mono,4,MYb11,3,0.462984786
col.2h,mono,4,MYb11,4,1.842136522
col.2h,mono,4,MYb11,5,0.787897126
col.2h,mono,4,MYb11,6,1.855808942
col.2h,mono,10,MYb11,1,1.183822447
col.2h,mono,10,MYb11,2,0.523129296
col.2h,mono,10,MYb11,3,0.979267265
col.2h,mono,10,MYb11,4,4.869601673
col.2h,mono,10,MYb11,5,0.195338152
col.2h,mono,10,MYb11,6,2.475797944
