"assay","treatE","cycle","strain","repO","rel.cfu.perWormInPop"
"colWormPop","bi",10,"MYb11",1,3.1433682091873
"colWormPop","mono",10,"MYb11",1,3.93199313878273
"colWormPop","bi",10,"MYb11",2,4.21581393949222
"colWormPop","mono",10,"MYb11",2,1.05479690502391
"colWormPop","mono",10,"MYb11",3,0.424951012646547
"colWormPop","bi",10,"MYb11",3,5.65477226729512
"colWormPop","mono",10,"MYb11",4,12.3666333043852
"colWormPop","bi",10,"MYb11",4,65.5274867125943
"colWormPop","bi",10,"MYb11",5,11.7433684171535
"colWormPop","mono",10,"MYb11",5,1.26854199018344
"colWormPop","bi",10,"MYb11",6,7.89683064275102
"colWormPop","mono",10,"MYb11",6,0.411870827667404
