"popID","strain","run","cycle","treatment","cfu"
8,"MYb11","1","2","biphasic",197848
8,"MYb11","1","3","biphasic",147280
8,"MYb11","1","4","biphasic",16930480
8,"MYb11","1","5","biphasic",466200
8,"MYb11","1","6","biphasic",179424
8,"MYb11","1","7","biphasic",10821070.4
8,"MYb11","1","9","biphasic",1213335.2
22,"MYb11","1","1","biphasic",126952
22,"MYb11","1","2","biphasic",102648
22,"MYb11","1","3","biphasic",410480
22,"MYb11","1","4","biphasic",50344
22,"MYb11","1","5","biphasic",95200
22,"MYb11","1","6","biphasic",84000
22,"MYb11","1","7","biphasic",504184.8
22,"MYb11","1","8","biphasic",13626664.8
22,"MYb11","1","9","biphasic",3397335.2
22,"MYb11","1","10","biphasic",6535200
48,"MYb11","2","1","biphasic",134400
48,"MYb11","2","2","biphasic",126952
48,"MYb11","2","3","biphasic",476000
48,"MYb11","2","4","biphasic",2240000
48,"MYb11","2","5","biphasic",22400000
48,"MYb11","2","6","biphasic",6906664.8
48,"MYb11","2","7","biphasic",8026664.8
48,"MYb11","2","8","biphasic",1792000
48,"MYb11","2","9","biphasic",7095200
48,"MYb11","2","10","biphasic",6720000
49,"MYb11","2","1","biphasic",85680
49,"MYb11","2","2","biphasic",210896
49,"MYb11","2","3","biphasic",2366700
49,"MYb11","2","4","biphasic",44424.8
49,"MYb11","2","5","biphasic",78400
49,"MYb11","2","6","biphasic",560000
49,"MYb11","2","7","biphasic",280000
49,"MYb11","2","8","biphasic",1176000
49,"MYb11","2","10","biphasic",31903200
52,"MYb11","2","1","biphasic",194320
52,"MYb11","2","2","biphasic",1604960
52,"MYb11","2","3","biphasic",79800
52,"MYb11","2","4","biphasic",560000
52,"MYb11","2","5","biphasic",1064000
52,"MYb11","2","6","biphasic",186664.8
52,"MYb11","2","7","biphasic",3173329.6
52,"MYb11","2","8","biphasic",2986480
52,"MYb11","2","9","biphasic",10640000
52,"MYb11","2","10","biphasic",27048000
60,"MYb11","2","1","biphasic",96880
60,"MYb11","2","2","biphasic",74648
60,"MYb11","2","3","biphasic",2241120
60,"MYb11","2","4","biphasic",12415.2
60,"MYb11","2","5","biphasic",362135.2
60,"MYb11","2","7","biphasic",1652000
60,"MYb11","2","9","biphasic",355040
60,"MYb11","2","10","biphasic",317520
