assay,treatE,cycle,strain,repO,motil_0.5agar_24h,motil_3.4agar_24h,motil_3.4agar_3d,motil_3.4agar_7d
motility,anc,0,MYb11,1,2.64274339,0.396382582,0.544768274,0.956267496
motility,bi,10,MYb11,1,1.522222395,0.383603421,0.735783826,1.394281493
motility,bi,10,MYb11,2,0.36381182,0.366079316,0.516905132,0.825293935
motility,bi,10,MYb11,3,1.610491446,0.361502333,0.695808709,1.41844479
motility,bi,10,MYb11,4,1.566527216,0.388306376,0.527024883,0.881654743
motility,bi,10,MYb11,5,0.364404355,0.368169518,0.546676516,0.838525661
motility,bi,10,MYb11,6,0.366317263,0.372765163,0.66244479,1.301822706
motility,bi,4,MYb11,1,2.270995334,0.360242613,0.575356143,0.952749611
motility,bi,4,MYb11,2,0.39407776,0.347958009,0.502133748,0.812827372
motility,bi,4,MYb11,3,2.022919129,0.382600311,0.572281493,0.975667185
motility,bi,4,MYb11,4,3.023766719,0.348569207,0.545272162,0.835026439
motility,bi,4,MYb11,5,1.249306376,0.392365474,0.56018818,1.033481337
motility,bi,4,MYb11,6,0.526679627,0.358688958,0.519289269,0.935769051
motility,mono,10,MYb11,1,0.653906687,0.436903577,0.928096423,1.976827372
motility,mono,10,MYb11,2,2.134548989,0.446948678,0.76837325,1.491191291
motility,mono,10,MYb11,3,2.20840591,0.4081493,0.768433904,1.437065319
motility,mono,10,MYb11,4,1.552245723,0.416155521,0.760427683,1.424682737
motility,mono,10,MYb11,5,1.663161742,0.348326594,0.575869362,1.175388802
motility,mono,10,MYb11,6,1.179891135,0.387933126,0.770920684,1.401415241
motility,mono,4,MYb11,1,2.732024883,0.374720062,0.647547434,1.137111975
motility,mono,4,MYb11,2,3.202992224,0.378858476,0.667147745,1.237786936
motility,mono,4,MYb11,3,2.956413686,0.361712286,0.539108865,0.899314152
motility,mono,4,MYb11,4,2.776992224,0.389160187,0.657620529,1.323573872
motility,mono,4,MYb11,5,2.353805599,0.380197512,0.512603421,0.891888802
motility,mono,4,MYb11,6,2.844513219,0.395066874,0.653164852,1.190323484
