"pop","sample","assay","tp","morphotype","cfu","treatE","strain","cycle"
2,12,"growth_agar","halfC","smooth",2.72e+10,"anc","MYb11",10
2,17,"growth_agar","halfC","wrinkly",15253333333.3333,"bi","MYb11",10
2,17,"growth_agar","halfC","smooth",1.28e+09,"bi","MYb11",10
2,6,"growth_agar","halfC","smooth",36266666666.6667,"mono","MYb11",10
2,6,"growth_agar","halfC","fuzzy",4.8e+09,"mono","MYb11",10
3,1,"growth_agar","halfC","smooth",3146666666.66667,"mono","MYb11",10
3,1,"growth_agar","halfC","fuzzy",3.04e+09,"mono","MYb11",10
3,2,"growth_agar","halfC","wrinkly",4853333333.33333,"bi","MYb11",10
3,2,"growth_agar","halfC","smooth",4.8e+08,"bi","MYb11",10
3,2,"growth_agar","halfC","fuzzy",3.2e+08,"bi","MYb11",10
3,9,"growth_agar","halfC","smooth",6506666666.66667,"anc","MYb11",10
4,15,"growth_agar","halfC","wrinkly",1.824e+10,"bi","MYb11",10
4,15,"growth_agar","halfC","smooth",1.064e+10,"bi","MYb11",10
4,24,"growth_agar","halfC","smooth",8.88e+09,"anc","MYb11",10
4,25,"growth_agar","halfC","smooth",3.36e+10,"mono","MYb11",10
5,13,"growth_agar","halfC","smooth",5.52e+09,"anc","MYb11",10
5,2,"growth_agar","halfC","wrinkly",9.12e+09,"bi","MYb11",10
5,2,"growth_agar","halfC","smooth",6.4e+08,"bi","MYb11",10
5,2,"growth_agar","halfC","fuzzy",1.6e+08,"bi","MYb11",10
5,28,"growth_agar","halfC","smooth",6453333333.33333,"mono","MYb11",10
5,28,"growth_agar","halfC","fuzzy",586666666.666667,"mono","MYb11",10
6,12,"growth_agar","halfC","wrinkly",11253333333.3333,"bi","MYb11",10
6,12,"growth_agar","halfC","fuzzy",2.72e+09,"bi","MYb11",10
6,18,"growth_agar","halfC","smooth",7626666666.66667,"anc","MYb11",10
6,26,"growth_agar","halfC","smooth",5333333333.33333,"mono","MYb11",10
6,26,"growth_agar","halfC","fuzzy",6.4e+09,"mono","MYb11",10
1,17,"growth_agar","halfC","smooth",9653333333.33333,"anc","MYb11",10
1,21,"growth_agar","halfC","smooth",3413333333.33333,"mono","MYb11",10
1,21,"growth_agar","halfC","fuzzy",2826666666.66667,"mono","MYb11",10
1,23,"growth_agar","halfC","wrinkly",3893333333.33333,"bi","MYb11",10
1,23,"growth_agar","halfC","fuzzy",1.28e+09,"bi","MYb11",10
