Biorep,MT,totalcdiGMP,meantotalcdiGMP,mediantotalcdiGMP,totalprotein,cdiGMPnom,meannormalizedcdiGMP,mediannormalizedcdiGMP,cdiGMPRel
1,WT,0.590,1.0,1.0,181.3,3.2572,6.8,6.8,1
2,WT,1.042,1.0,1.0,152.8,6.8205,6.8,6.8,1
3,WT,0.985,1.0,1.0,153.3,6.4263,6.8,6.8,1
4,WT,1.274,1.0,1.0,140.6,9.0571,6.8,6.8,1
5,WT,1.151,1.0,1.0,135.5,8.4949,6.8,6.8,1
1,MT12,2.615,2.1,2.0,144.6,18.0814,15.5,14.3,2.3
2,MT12,2.143,2.1,2.0,150.1,14.2798,15.5,14.3,2.3
3,MT12,1.727,2.1,2.0,179.0,9.6500,15.5,14.3,2.3
4,MT12,1.997,2.1,2.0,142.5,14.0168,15.5,14.3,2.3
5,MT12,1.936,2.1,2.0,89.5,21.6392,15.5,14.3,2.3
1,MT14,1.730,2.3,2.2,128.1,13.5036,13.7,13.5,2.0
2,MT14,2.236,2.3,2.2,181.3,12.3335,13.7,13.5,2.0
3,MT14,2.024,2.3,2.2,159.3,12.7083,13.7,13.5,2.0
4,MT14,3.080,2.3,2.2,199.0,15.4826,13.7,13.5,2.0
5,MT14,2.626,2.3,2.2,179.7,14.6090,13.7,13.5,2.0
1,MT22,4.253,5.4,6.1,181.7,23.4046,30.1,28.5,4.4
2,MT22,6.163,5.4,6.1,216.2,28.5079,30.1,28.5,4.4
3,MT22,6.274,5.4,6.1,145.9,42.9999,30.1,28.5,4.4
4,MT22,4.267,5.4,6.1,107.3,39.7643,30.1,28.5,4.4
5,MT22,6.071,5.4,6.1,379.1,16.0138,30.1,28.5,4.4
